시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대
전북 군산시,친구/연인,만족,높음,높음,여,20대
충남 공주시,친목 모임,매우 만족,높음,높음,여,60대
전남 강진군,가족,매우 만족,높음,높음,남,50대
경남 창원시,가족,만족,높음,높음,남,40대
경남 남해군,친구/연인,매우 만족,높음,높음,여,40대
전남 여수시,친구/연인,매우 만족,매우 높음,높음,남,40대
경북 포항시,친구/연인,매우 만족,높음,높음,여,30대
부산 기장군,가족,매우 만족,높음,높음,남,60대
경기 가평군,가족,매우 만족,높음,높음,남,50대
전북 전주시,가족,매우 만족,매우 높음,높음,여,60대
경남 창원시,친목 모임,매우 만족,매우 높음,높음,여,70세 이상
대전 유성구,친구/연인,만족,매우 높음,매우 높음,남,50대
전북 진안군,친구/연인,만족,높음,높음,여,15~19세
제주 제주시,친구/연인,만족,높음,높음,남,20대
제주 제주시,가족,만족,매우 높음,매우 높음,여,30대
전북 장수군,친목 모임,매우 만족,매우 높음,매우 높음,여,60대
전북 진안군,친목 모임,매우 만족,높음,매우 높음,남,40대
제주 제주시,(직장)동료,매우 만족,높음,높음,남,50대
충남 예산군,가족,만족,높음,보통,여,20대
전남 순천시,가족,만족,높음,높음,여,70세 이상
경남 진주시,가족,만족,높음,보통,남,15~19세
전남 완도군,가족,만족,매우 높음,매우 높음,여,40대
부산 강서구,친구/연인,매우 만족,높음,높음,여,20대
부산 해운대구,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
충북 보은군,친구/연인,만족,매우 높음,높음,남,40대
부산 사하구,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
부산 해운대구,친구/연인,매우 만족,높음,높음,남,15~19세
충남 계룡시,가족,매우 만족,높음,높음,여,40대
경북 포항시,친구/연인,매우 만족,높음,높음,남,20대
전북 진안군,가족,매우 만족,높음,높음,남,50대
경남 창원시,친구/연인,만족,높음,높음,여,15~19세
부산 영도구,친구/연인,만족,높음,보통,여,40대
전북 남원시,가족,만족,보통,높음,여,20대
전북 진안군,가족,만족,높음,보통,남,40대
경기 가평군,가족,매우 만족,높음,높음,여,50대
제주 제주시,친구/연인,만족,높음,높음,남,30대
전남 해남군,친목 모임,매우 만족,높음,높음,여,50대
전북 완주군,친구/연인,만족,높음,높음,여,40대
경남 김해시,친구/연인,매우 만족,높음,높음,남,20대
전북 무주군,친구/연인,만족,높음,높음,여,20대
광주 광산구,가족,만족,높음,높음,남,40대
광주 남구,가족,매우 만족,높음,높음,여,30대
경남 합천군,가족,매우 만족,높음,높음,여,40대
전북 무주군,친목 모임,매우 만족,높음,높음,남,50대
제주 서귀포시,가족,매우 만족,높음,매우 높음,남,40대
경기 가평군,가족,매우 만족,높음,높음,남,30대
광주 광산구,가족,만족,높음,높음,여,50대
충남 금산군,친구/연인,만족,높음,보통,남,50대
서울 강남구,가족,만족,매우 높음,높음,여,60대
전남 여수시,친구/연인,만족,높음,보통,남,40대
전북 전주시,친구/연인,만족,높음,높음,남,15~19세
전남 무안군,가족,만족,보통,높음,여,15~19세
전북 완주군,가족,만족,높음,높음,여,40대
전북 정읍시,(직장)동료,만족,높음,높음,여,50대
전남 순천시,가족,만족,높음,높음,남,20대
전남 목포시,가족,만족,높음,높음,남,60대
전남 무안군,친척,만족,높음,보통,남,50대
충남 태안군,가족,만족,높음,높음,남,40대
전북 정읍시,가족,만족,높음,높음,여,30대
경북 경주시,가족,만족,높음,높음,남,50대
전북 정읍시,가족,만족,높음,높음,남,60대
충남 금산군,가족,만족,높음,높음,남,60대
경남 남해군,가족,만족,보통,높음,여,40대
광주 동구,친구/연인,만족,보통,높음,여,20대
전남 강진군,친구/연인,만족,높음,높음,남,20대
전북 완주군,가족,만족,높음,높음,남,50대
전북 전주시,친구/연인,만족,높음,높음,남,15~19세
제주 서귀포시,가족,매우 만족,높음,높음,여,70세 이상
경기 용인시,친구/연인,만족,매우 높음,높음,남,70세 이상
충남 천안시,가족,만족,보통,높음,여,30대
전남 여수시,친구/연인,매우 만족,높음,높음,여,20대
전북 김제시,친구/연인,매우 만족,높음,높음,남,60대
전북 남원시,친구/연인,만족,높음,높음,남,20대
부산 해운대구,가족,만족,높음,높음,여,40대
전남 보성군,친구/연인,만족,높음,높음,남,20대
전북 고창군,가족,만족,보통,보통,남,50대
전북 임실군,가족,만족,높음,높음,여,40대
전남 완도군,친구/연인,만족,높음,높음,여,20대
전북 남원시,가족,매우 만족,매우 높음,높음,여,70세 이상
전북 군산시,친구/연인,매우 만족,높음,높음,여,20대
전북 전주시,친구/연인,매우 만족,높음,높음,남,20대
전남 장흥군,친구/연인,매우 만족,높음,높음,남,30대
전북 남원시,친구/연인,매우 만족,높음,높음,여,50대
강원 정선군,가족,매우 만족,높음,매우 높음,남,50대
경남 남해군,가족,매우 만족,높음,매우 높음,여,50대
전남 여수시,친구/연인,매우 만족,매우 높음,매우 높음,남,40대
전남 구례군,친구/연인,만족,매우 높음,매우 높음,남,30대
전남 구례군,가족,매우 만족,높음,매우 높음,여,15~19세
전남 여수시,가족,매우 만족,매우 높음,높음,여,60대
전남 강진군,가족,매우 만족,매우 높음,매우 높음,여,60대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,여,15~19세
전남 순천시,가족,만족,매우 높음,높음,여,20대
전남 구례군,가족,매우 만족,매우 높음,매우 높음,여,50대
전남 보성군,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 장수군,가족,만족,높음,보통,여,40대
전북 군산시,가족,만족,높음,보통,남,50대
서울 강남구,친구/연인,만족,높음,높음,남,20대
서울 영등포구,친구/연인,만족,높음,높음,여,15~19세
광주 북구,학교 단체,매우 만족,높음,높음,남,15~19세
부산 부산진구,가족,만족,보통,높음,남,30대
전남 순천시,가족,불만족,낮음,낮음,남,60대
전남 신안군,가족,만족,높음,높음,여,60대
강원 평창군,친구/연인,만족,높음,보통,남,20대
경북 봉화군,가족,만족,보통,보통,남,30대
경남 산청군,가족,만족,높음,높음,여,30대
경북 경주시,가족,만족,매우 높음,높음,남,50대
전북 남원시,(직장)동료,매우 만족,높음,높음,남,20대
전북 군산시,가족,만족,높음,높음,여,50대
대전 유성구,(직장)동료,보통,높음,높음,남,30대
경북 봉화군,친목 모임,만족,높음,높음,여,70세 이상
광주 서구,가족,만족,높음,높음,여,30대
광주 동구,가족,매우 만족,높음,매우 높음,남,70세 이상
광주 광산구,가족,매우 만족,높음,매우 높음,여,50대
광주 동구,가족,매우 만족,매우 높음,높음,남,15~19세
광주 동구,친구/연인,매우 만족,높음,매우 높음,여,40대
전남 여수시,친구/연인,매우 만족,매우 높음,높음,여,20대
전남 여수시,친구/연인,매우 만족,높음,높음,여,30대
전남 곡성군,가족,매우 만족,매우 높음,높음,여,70세 이상
강원 동해시,가족,매우 만족,매우 높음,매우 높음,남,60대
강원 강릉시,가족,매우 만족,높음,높음,여,50대
전남 강진군,가족,매우 만족,높음,높음,남,50대
전북 무주군,가족,매우 만족,높음,높음,여,30대
충북 충주시,친구/연인,매우 만족,높음,높음,남,20대
광주 서구,친구/연인,매우 만족,매우 높음,매우 높음,여,15~19세
경기 가평군,가족,매우 만족,높음,매우 높음,남,40대
부산 사하구,친구/연인,매우 만족,높음,매우 높음,여,20대
인천 강화군,친구/연인,매우 만족,높음,높음,남,30대
제주 서귀포시,친구/연인,매우 만족,높음,높음,남,20대
대전 유성구,가족,만족,매우 높음,높음,남,40대
충남 당진시,가족,매우 만족,높음,높음,여,40대
전남 강진군,가족,매우 만족,매우 높음,매우 높음,남,30대
전북 고창군,가족,만족,높음,보통,여,30대
전남 여수시,친목 모임,매우 만족,높음,높음,남,70세 이상
충남 부여군,가족,매우 만족,높음,높음,남,40대
전북 군산시,친목 모임,매우 만족,높음,높음,여,70세 이상
전남 완도군,가족,만족,보통,보통,남,60대
전남 무안군,가족,만족,보통,보통,여,30대
부산 남구,친구/연인,보통,보통,보통,남,40대
전남 신안군,가족,만족,높음,높음,여,50대
전남 순천시,가족,만족,보통,보통,여,40대
충북 음성군,가족,만족,높음,높음,남,20대
전남 담양군,가족,만족,높음,높음,남,40대
충남 서산시,가족,만족,보통,높음,남,20대
전북 완주군,가족,보통,높음,보통,여,30대
전남 순천시,가족,만족,보통,높음,여,20대
전남 담양군,친구/연인,만족,보통,높음,여,50대
전북 순창군,가족,만족,높음,높음,여,70세 이상
전북 순창군,가족,보통,높음,높음,남,50대
전남 순천시,가족,만족,보통,높음,남,60대
전북 완주군,가족,보통,높음,보통,남,30대
전북 임실군,가족,만족,높음,높음,여,40대
전북 군산시,친구/연인,매우 만족,높음,높음,남,20대
경남 통영시,친목 모임,만족,매우 높음,높음,여,70세 이상
전남 순천시,친목 모임,만족,높음,높음,남,70세 이상
전남 구례군,가족,만족,높음,높음,여,15~19세
전남 여수시,가족,만족,높음,높음,남,50대
전북 정읍시,가족,매우 만족,높음,높음,남,20대
전북 정읍시,가족,매우 만족,높음,높음,여,20대
충남 공주시,친구/연인,만족,높음,높음,남,40대
충남 태안군,친구/연인,만족,높음,높음,여,40대
충남 공주시,(직장)동료,만족,높음,높음,남,70세 이상
경남 창원시,가족,만족,매우 높음,높음,남,30대
충남 보령시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전남 여수시,가족,매우 만족,매우 높음,매우 높음,여,50대
광주 서구,가족,만족,높음,높음,남,40대
전북 순창군,친구/연인,매우 만족,매우 높음,매우 높음,여,30대
경남 사천시,친목 모임,매우 만족,높음,높음,여,70세 이상
광주 동구,가족,매우 만족,높음,높음,남,50대
전북 전주시,가족,만족,높음,높음,여,20대
전북 전주시,친목 모임,만족,높음,높음,여,70세 이상
전남 담양군,친구/연인,만족,매우 높음,높음,여,20대
전북 익산시,가족,만족,높음,높음,남,50대
전북 부안군,가족,만족,매우 높음,높음,남,30대
전북 부안군,가족,매우 만족,높음,높음,남,40대
광주 동구,친구/연인,매우 만족,높음,매우 높음,여,20대
경남 거제시,친목 모임,매우 만족,높음,매우 높음,여,60대
광주 서구,가족,매우 만족,높음,매우 높음,남,70세 이상
광주 동구,가족,만족,매우 높음,높음,여,70세 이상
광주 서구,가족,만족,매우 높음,높음,남,40대
전남 해남군,가족,매우 만족,매우 높음,매우 높음,여,50대
충남 공주시,친구/연인,만족,높음,높음,남,30대
경남 김해시,가족,만족,높음,높음,남,60대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,여,60대
전남 여수시,친구/연인,매우 만족,높음,높음,남,20대
전북 부안군,가족,매우 만족,매우 높음,매우 높음,남,50대
전남 광양시,가족,만족,높음,높음,여,50대
전북 부안군,가족,만족,높음,매우 높음,남,40대
전남 목포시,가족,매우 만족,매우 높음,매우 높음,여,50대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,남,40대
전북 장수군,가족,매우 만족,매우 높음,매우 높음,남,60대
전남 장성군,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 보성군,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전남 무안군,가족,매우 만족,매우 높음,매우 높음,남,30대
전남 순천시,친구/연인,만족,매우 높음,높음,여,20대
전남 여수시,가족,만족,높음,높음,여,60대
전북 전주시,가족,만족,높음,높음,여,30대
전남 곡성군,가족,만족,높음,높음,남,60대
전북 순창군,가족,만족,높음,높음,남,30대
경기 가평군,친목 모임,매우 만족,높음,높음,여,70세 이상
전남 나주시,(직장)동료,만족,높음,높음,여,20대
전남 목포시,가족,만족,높음,높음,남,40대
전북 순창군,가족,만족,높음,높음,남,70세 이상
전북 군산시,친구/연인,매우 만족,높음,높음,여,15~19세
전북 전주시,가족,매우 만족,높음,매우 높음,여,50대
전북 김제시,가족,매우 만족,높음,높음,여,30대
전북 군산시,가족,매우 만족,높음,높음,남,50대
전남 목포시,친목 모임,매우 만족,높음,높음,남,60대
전북 부안군,가족,매우 만족,매우 높음,매우 높음,남,70세 이상
광주 동구,가족,매우 만족,매우 높음,매우 높음,남,50대
경기 과천시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,남,40대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,여,40대
전남 보성군,가족,매우 만족,매우 높음,매우 높음,여,50대
전남 순천시,가족,매우 만족,매우 높음,매우 높음,여,60대
전북 순창군,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 여수시,가족,만족,높음,높음,여,15~19세
경남 거제시,가족,만족,높음,높음,여,30대
전남 담양군,가족,만족,높음,높음,여,40대
강원 속초시,가족,매우 만족,매우 높음,매우 높음,남,50대
전남 무안군,가족,만족,높음,높음,여,60대
전남 순천시,친목 모임,매우 만족,매우 높음,매우 높음,여,70세 이상
서울 성북구,학교 단체,매우 만족,높음,높음,남,15~19세
전북 고창군,가족,만족,높음,높음,남,40대
충남 서산시,가족,매우 만족,높음,매우 높음,남,15~19세
전남 구례군,가족,만족,높음,매우 높음,여,40대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,남,50대
광주 동구,가족,매우 만족,매우 높음,매우 높음,남,60대
전북 진안군,가족,매우 만족,매우 높음,매우 높음,여,30대
대전 유성구,가족,만족,매우 높음,높음,남,40대
전남 순천시,가족,매우 만족,높음,매우 높음,여,15~19세
전남 여수시,가족,만족,높음,높음,남,30대
전남 여수시,친구/연인,만족,높음,높음,남,20대
전북 순창군,가족,만족,높음,높음,남,60대
전북 순창군,친구/연인,매우 만족,높음,높음,여,40대
전북 장수군,가족,만족,높음,보통,여,20대
전남 순천시,친척,만족,높음,높음,여,70세 이상
충남 서천군,친구/연인,만족,높음,높음,남,70세 이상
전남 순천시,가족,만족,보통,높음,남,50대
전남 담양군,친구/연인,만족,높음,높음,남,15~19세
전북 임실군,가족,만족,높음,높음,남,60대
전남 무안군,친구/연인,만족,높음,높음,남,30대
경기 고양시,가족,만족,높음,높음,여,70세 이상
제주 제주시,가족,만족,매우 높음,높음,여,60대
광주 북구,친목 모임,만족,높음,보통,남,30대
광주 남구,가족,만족,매우 높음,매우 높음,남,40대
전북 김제시,가족,만족,매우 높음,매우 높음,남,60대
전북 익산시,가족,만족,매우 높음,매우 높음,남,30대
전남 보성군,가족,만족,매우 높음,높음,남,50대
전북 김제시,가족,만족,매우 높음,높음,여,60대
전남 화순군,가족,만족,매우 높음,높음,남,15~19세
광주 북구,가족,만족,매우 높음,매우 높음,여,50대
전북 정읍시,친구/연인,만족,매우 높음,높음,남,70세 이상
전북 정읍시,가족,만족,높음,높음,남,30대
전남 장흥군,친구/연인,매우 만족,높음,높음,여,20대
전북 무주군,가족,만족,매우 높음,높음,여,50대
전남 여수시,가족,만족,매우 높음,높음,남,40대
전북 진안군,가족,만족,매우 높음,높음,남,60대
전북 부안군,친구/연인,매우 만족,높음,높음,여,60대
전북 진안군,가족,만족,매우 높음,높음,남,50대
전북 진안군,가족,만족,매우 높음,높음,여,70세 이상
전북 무주군,가족,만족,높음,높음,여,70세 이상
전남 신안군,친척,매우 만족,높음,높음,남,30대
전북 전주시,친구/연인,만족,높음,보통,여,20대
전북 순창군,가족,만족,높음,높음,여,30대
전북 장수군,친구/연인,매우 만족,높음,높음,남,20대
부산 동래구,친구/연인,만족,높음,높음,남,20대
경기 과천시,가족,매우 만족,높음,높음,남,30대
전북 군산시,친구/연인,매우 만족,높음,높음,남,20대
전북 군산시,친구/연인,매우 만족,높음,높음,여,20대
전남 신안군,가족,매우 만족,매우 높음,높음,남,40대
전북 순창군,친구/연인,매우 만족,높음,높음,여,15~19세
광주 광산구,가족,매우 만족,높음,높음,남,50대
울산 울주군,가족,매우 만족,높음,매우 높음,여,40대
부산 금정구,친구/연인,매우 만족,높음,높음,여,50대
대전 유성구,친구/연인,매우 만족,높음,높음,여,30대
전남 목포시,가족,만족,높음,높음,여,20대
전남 구례군,가족,만족,높음,높음,여,50대
전북 장수군,가족,만족,높음,높음,남,70세 이상
전남 순천시,친구/연인,만족,높음,높음,남,30대
전북 장수군,가족,만족,높음,높음,남,50대
전북 정읍시,가족,만족,높음,높음,남,15~19세
전북 전주시,가족,만족,보통,높음,여,40대
전북 부안군,친구/연인,만족,높음,보통,남,20대
전북 전주시,가족,만족,높음,매우 높음,남,40대
전북 고창군,가족,만족,보통,높음,남,50대
충북 제천시,가족,만족,높음,높음,남,60대
전북 순창군,(직장)동료,만족,높음,높음,여,30대
전북 완주군,가족,만족,보통,높음,여,50대
충남 태안군,친목 모임,만족,높음,보통,여,70세 이상
부산 사하구,가족,만족,보통,높음,남,30대
전북 군산시,가족,만족,높음,보통,남,50대
충남 서천군,친목 모임,보통,보통,높음,남,60대
충남 태안군,친목 모임,만족,높음,보통,여,70세 이상
전남 해남군,친목 모임,만족,높음,높음,남,60대
광주 동구,(직장)동료,만족,높음,높음,남,40대
전북 군산시,가족,만족,높음,높음,여,50대
경기 고양시,가족,만족,높음,높음,여,70세 이상
전북 부안군,가족,만족,높음,높음,여,60대
전북 무주군,가족,매우 만족,높음,매우 높음,남,60대
경기 가평군,가족,매우 만족,높음,높음,여,60대
충남 홍성군,가족,매우 만족,높음,높음,여,50대
전북 장수군,가족,매우 만족,매우 높음,매우 높음,남,40대
전북 순창군,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전북 고창군,가족,매우 만족,매우 높음,매우 높음,남,60대
전북 장수군,가족,매우 만족,매우 높음,매우 높음,남,50대
광주 서구,가족,매우 만족,매우 높음,매우 높음,여,20대
전남 담양군,가족,매우 만족,매우 높음,매우 높음,남,40대
전남 신안군,가족,매우 만족,매우 높음,매우 높음,남,70세 이상
전북 익산시,가족,매우 만족,매우 높음,매우 높음,여,60대
광주 광산구,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전북 무주군,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
경북 경주시,가족,만족,높음,높음,남,40대
전북 정읍시,가족,매우 만족,매우 높음,매우 높음,남,70세 이상
전북 고창군,가족,매우 만족,매우 높음,매우 높음,여,50대
전남 여수시,가족,매우 만족,매우 높음,매우 높음,남,40대
전북 임실군,가족,매우 만족,매우 높음,매우 높음,남,60대
전북 익산시,가족,매우 만족,매우 높음,매우 높음,여,30대
전남 신안군,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 군산시,가족,만족,높음,높음,남,60대
전북 정읍시,친구/연인,만족,보통,높음,여,70세 이상
경남 남해군,가족,매우 만족,높음,매우 높음,남,50대
전북 부안군,친구/연인,만족,높음,높음,여,60대
전남 화순군,가족,만족,매우 높음,높음,여,40대
전북 정읍시,가족,만족,높음,높음,여,50대
전북 무주군,친구/연인,만족,매우 높음,높음,여,20대
전북 군산시,가족,만족,매우 높음,높음,여,50대
전북 진안군,가족,만족,높음,보통,남,60대
전북 군산시,가족,만족,높음,높음,남,40대
전남 순천시,가족,만족,매우 높음,높음,남,50대
부산 해운대구,가족,만족,높음,매우 높음,여,40대
전남 나주시,가족,만족,높음,보통,여,40대
전남 신안군,친구/연인,만족,높음,높음,남,20대
전북 군산시,친구/연인,만족,높음,보통,여,50대
대전 중구,가족,보통,높음,보통,여,15~19세
전남 보성군,친구/연인,만족,높음,보통,남,60대
전남 순천시,친구/연인,만족,높음,보통,여,60대
전남 신안군,가족,보통,보통,높음,여,30대
전북 임실군,가족,만족,매우 높음,높음,여,40대
전북 전주시,가족,만족,매우 높음,높음,남,50대
전북 부안군,가족,매우 만족,높음,높음,여,20대
전남 완도군,가족,만족,매우 높음,높음,여,60대
전북 정읍시,가족,만족,매우 높음,매우 높음,남,50대
전북 남원시,가족,만족,매우 높음,높음,남,15~19세
전북 군산시,가족,만족,높음,높음,남,40대
전남 여수시,가족,만족,매우 높음,높음,여,50대
전남 영광군,친구/연인,만족,보통,높음,남,50대
경남 진주시,가족,만족,보통,높음,남,20대
전남 함평군,친구/연인,만족,높음,보통,여,40대
전북 완주군,친구/연인,만족,보통,높음,여,30대
전남 영광군,친구/연인,만족,보통,높음,남,60대
전남 보성군,가족,만족,보통,높음,남,30대
충남 예산군,가족,만족,보통,높음,여,60대
전북 임실군,가족,만족,보통,높음,여,50대
전남 순천시,친구/연인,보통,높음,높음,남,40대
전북 군산시,가족,만족,매우 높음,높음,여,50대
전북 익산시,친구/연인,만족,높음,보통,남,50대
충남 서천군,가족,만족,보통,높음,남,40대
전남 보성군,가족,만족,높음,보통,남,30대
전남 신안군,가족,만족,보통,높음,남,15~19세
전남 순천시,가족,보통,높음,보통,여,40대
전남 무안군,친구/연인,만족,보통,높음,여,20대
강원 동해시,친구/연인,만족,보통,높음,여,70세 이상
전남 여수시,친척,만족,보통,높음,남,70세 이상
전북 군산시,가족,만족,높음,높음,여,50대
전북 군산시,가족,만족,높음,높음,남,40대
전북 임실군,가족,만족,높음,높음,남,50대
전북 익산시,가족,만족,높음,높음,여,70세 이상
전북 순창군,친구/연인,보통,낮음,보통,남,15~19세
전남 순천시,친구/연인,보통,높음,보통,여,40대
전남 담양군,친구/연인,보통,높음,보통,여,60대
전남 순천시,가족,보통,높음,보통,남,30대
전남 보성군,친구/연인,만족,높음,높음,여,20대
전남 목포시,가족,만족,보통,보통,여,70세 이상
전북 임실군,친구/연인,보통,높음,보통,남,50대
충남 아산시,가족,만족,보통,높음,여,20대
충남 천안시,친구/연인,만족,높음,높음,남,50대
충남 아산시,친구/연인,보통,높음,높음,남,20대
전남 목포시,친구/연인,만족,보통,보통,남,60대
전북 임실군,가족,매우 만족,높음,높음,여,30대
전북 임실군,가족,매우 만족,높음,높음,남,40대
전남 영암군,가족,매우 만족,높음,매우 높음,남,50대
광주 동구,가족,매우 만족,높음,높음,여,15~19세
광주 동구,가족,매우 만족,높음,매우 높음,여,30대
대전 유성구,가족,매우 만족,높음,매우 높음,남,15~19세
광주 동구,가족,매우 만족,높음,매우 높음,남,40대
강원 춘천시,친목 모임,매우 만족,높음,높음,남,30대
광주 동구,가족,매우 만족,높음,매우 높음,여,70세 이상
전북 정읍시,가족,만족,높음,높음,남,50대
전북 무주군,가족,만족,매우 높음,높음,여,40대
전북 무주군,가족,매우 만족,높음,높음,남,60대
전남 보성군,친구/연인,매우 만족,높음,높음,여,20대
전남 장흥군,가족,만족,매우 높음,높음,여,30대
전남 보성군,친구/연인,매우 만족,높음,높음,남,20대
경남 남해군,가족,매우 만족,높음,매우 높음,남,30대
전북 장수군,가족,만족,높음,높음,남,70세 이상
광주 동구,가족,만족,높음,높음,여,30대
충남 홍성군,친구/연인,만족,높음,높음,여,60대
대전 중구,친구/연인,만족,높음,보통,남,30대
전북 부안군,가족,만족,높음,보통,여,40대
전남 담양군,친구/연인,보통,보통,높음,여,60대
대전 중구,친구/연인,매우 만족,높음,높음,여,20대
전북 전주시,가족,만족,높음,높음,남,40대
전북 전주시,가족,만족,높음,높음,남,50대
전북 고창군,가족,만족,높음,보통,남,30대
전북 부안군,친구/연인,만족,높음,높음,여,20대
전북 고창군,가족,보통,보통,높음,여,50대
전북 부안군,가족,만족,매우 높음,높음,여,15~19세
전남 여수시,친구/연인,만족,보통,높음,남,30대
충남 보령시,친구/연인,만족,높음,매우 높음,남,20대
제주 서귀포시,가족,만족,높음,높음,여,20대
전북 진안군,친목 모임,만족,높음,높음,남,60대
전북 남원시,친목 모임,만족,보통,높음,남,70세 이상
전북 군산시,친구/연인,만족,높음,보통,남,50대
전북 순창군,친구/연인,만족,높음,높음,남,20대
전남 여수시,친구/연인,만족,높음,높음,여,60대
전북 정읍시,친구/연인,만족,높음,높음,여,30대
전남 담양군,친구/연인,만족,높음,높음,남,50대
충남 서천군,친구/연인,만족,높음,높음,여,20대
전남 목포시,친구/연인,만족,높음,높음,남,70세 이상
전북 부안군,가족,매우 만족,매우 높음,높음,남,60대
전북 고창군,친구/연인,매우 만족,높음,높음,남,20대
서울 용산구,친구/연인,매우 만족,높음,매우 높음,남,50대
전남 여수시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
경기 과천시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전북 고창군,가족,매우 만족,매우 높음,매우 높음,여,60대
전북 정읍시,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 여수시,가족,매우 만족,매우 높음,매우 높음,여,50대
전남 보성군,가족,매우 만족,매우 높음,매우 높음,남,60대
전북 남원시,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 순창군,가족,매우 만족,매우 높음,높음,남,20대
전남 여수시,가족,매우 만족,매우 높음,매우 높음,남,30대
부산 영도구,가족,매우 만족,매우 높음,매우 높음,남,50대
전북 무주군,가족,만족,높음,높음,남,60대
전남 화순군,가족,만족,높음,매우 높음,여,60대
전남 장흥군,가족,매우 만족,높음,높음,남,40대
전남 담양군,가족,매우 만족,높음,높음,여,60대
전남 담양군,가족,매우 만족,높음,높음,남,60대
전북 순창군,친구/연인,매우 만족,매우 높음,높음,남,50대
경남 남해군,가족,만족,보통,높음,여,40대
강원 정선군,가족,만족,높음,높음,여,50대
전남 보성군,(직장)동료,만족,높음,높음,남,40대
전북 순창군,가족,만족,높음,높음,남,70세 이상
전남 장성군,친구/연인,매우 만족,높음,매우 높음,남,30대
전북 임실군,가족,만족,높음,높음,여,40대
전북 전주시,가족,만족,높음,높음,여,50대
광주 광산구,가족,만족,높음,높음,여,60대
전북 부안군,친구/연인,만족,높음,높음,여,70세 이상
전북 전주시,가족,만족,매우 높음,높음,남,40대
전북 정읍시,가족,만족,높음,매우 높음,남,50대
전북 정읍시,가족,만족,매우 높음,높음,여,50대
충남 태안군,가족,만족,높음,매우 높음,여,40대
전북 장수군,가족,만족,매우 높음,높음,남,30대
경남 남해군,가족,매우 만족,높음,높음,남,60대
전북 부안군,친구/연인,매우 만족,높음,높음,여,60대
광주 동구,가족,만족,높음,높음,남,60대
전북 부안군,가족,만족,높음,높음,남,60대
부산 해운대구,친구/연인,만족,높음,높음,남,20대
전북 진안군,친목 모임,만족,높음,높음,여,70세 이상
전북 순창군,친구/연인,만족,높음,높음,남,20대
서울 종로구,가족,만족,높음,높음,여,60대
전북 부안군,친구/연인,만족,보통,높음,남,20대
전북 부안군,친구/연인,만족,보통,높음,남,30대
전북 군산시,가족,만족,매우 높음,높음,여,30대
전남 신안군,친구/연인,매우 만족,높음,높음,여,50대
경남 거제시,친구/연인,만족,매우 높음,높음,남,70세 이상
전남 순천시,가족,만족,매우 높음,높음,남,15~19세
전북 정읍시,가족,만족,매우 높음,높음,남,60대
전남 여수시,가족,만족,높음,매우 높음,여,30대
전북 무주군,친구/연인,만족,높음,높음,남,20대
경남 남해군,친구/연인,만족,매우 높음,매우 높음,여,50대
전남 완도군,가족,매우 만족,높음,높음,남,40대
전북 부안군,가족,만족,높음,매우 높음,남,50대
경기 수원시,가족,매우 만족,높음,매우 높음,여,60대
전남 곡성군,가족,매우 만족,높음,매우 높음,남,70세 이상
강원 홍천군,가족,만족,매우 높음,높음,여,40대
제주 서귀포시,친구/연인,만족,매우 높음,매우 높음,여,20대
서울 송파구,친구/연인,만족,보통,높음,남,20대
전남 고흥군,친구/연인,만족,높음,높음,여,60대
전북 남원시,가족,보통,보통,보통,남,40대
전남 담양군,친구/연인,만족,보통,높음,남,50대
전북 전주시,친구/연인,만족,보통,높음,남,60대
전북 진안군,가족,만족,높음,높음,여,15~19세
경기 과천시,친구/연인,매우 만족,높음,높음,여,20대
전북 군산시,가족,매우 만족,높음,높음,여,70세 이상
전남 보성군,가족,매우 만족,매우 높음,높음,남,50대
강원 강릉시,친구/연인,매우 만족,매우 높음,높음,남,60대
전북 전주시,가족,만족,높음,높음,남,40대
대전 서구,가족,만족,보통,보통,여,60대
전남 순천시,친목 모임,만족,높음,높음,남,70세 이상
전남 보성군,친구/연인,만족,높음,높음,남,20대
광주 서구,가족,만족,보통,보통,여,40대
경남 남해군,가족,만족,높음,높음,여,20대
전북 진안군,가족,만족,높음,높음,여,50대
전남 순천시,가족,만족,높음,매우 높음,남,50대
